score_metric,Performance_Percentile,Inconsistency,Inconsistency_Percentile
work_scale,68.40277777777773,29.079528098152824,12.5
test_mse,67.53472222222223,18.89936661428614,90.625
d_mse_test,67.53472222222221,18.89936661428614,90.625
d_mse_train,66.92708333333333,24.407289521550055,50.0
train_mse,66.92708333333327,24.40728952155006,43.75
cluster_1,63.975694444444464,30.579057960363038,6.25
cluster_0,49.6527777777778,21.02067006819315,81.25
kl_divergence,40.58159722222218,23.745602553214024,75.0
val_loss,40.53819444444446,16.64649130777568,100.0
work_magnitude,40.538194444444436,25.55751917385461,31.25
work_shape,39.75694444444443,24.83195469969589,37.5
work_density,39.27951388888889,24.19326151970592,59.375
work_opt,39.27951388888889,24.19326151970592,59.375
work_fitting,39.27951388888888,24.193261519705917,68.75
val_mse,39.06249999999998,27.53942055348785,25.0
d_mse_val,39.062499999999964,27.539420553487854,18.75
