score_metric,Performance_Percentile,Inconsistency,Inconsistency_Percentile
work_scale,76.21527777777773,20.17675544890889,75.0
test_mse,67.36111111111116,26.631075477266428,28.125
d_mse_test,67.36111111111109,26.631075477266428,28.125
d_mse_train,65.71180555555557,30.39753105348083,12.5
train_mse,65.7118055555555,30.397531053480826,18.75
val_mse,63.62847222222223,19.37232266017067,84.375
d_mse_val,63.6284722222222,19.37232266017067,84.375
val_loss,52.34375000000001,7.890165488359098,100.0
cluster_1,50.08680555555561,32.42056448343444,6.25
work_density,37.282986111111136,22.880721882029608,56.25
work_fitting,37.28298611111112,22.880721882029608,56.25
work_opt,37.2829861111111,22.880721882029608,56.25
work_shape,35.677083333333336,23.503872175873333,43.75
kl_divergence,35.11284722222219,21.007331865589627,68.75
work_magnitude,33.68055555555555,24.533759070778185,37.5
cluster_0,19.965277777777782,13.306217923066614,93.75
